date,location,flavor,size,qty,defecttype,cavitynum,jobnum,shift
9/8/14,1,Reg Orange,128,2,2,,168189,3
9/8/14,1,Reg Orange,128,2,7,,168189,3
9/8/14,1,Reg Orange,128,2,1,,168189,3
9/8/14,1,Coconut Water Greens,15.2,4,2,,168129,3
9/8/14,1,Coconut Water Greens,15.2,4,7,,168129,3
9/8/14,1,Sweet Greens and Lemon,15.2,8,2,,168074,3
9/8/14,1,Sweet Greens and Lemon,15.2,8,7,,168074,3
9/8/14,1,Apple Berry,15.2,6,2,,168158,3
9/8/14,1,Apple Berry,15.2,7,7,,168158,3
9/8/14,2,Sweet Greens and Lemon,15.2,9,1,,168074,3
9/8/14,2,Sweet Greens and Lemon,15.2,2,7,,168074,3
9/8/14,2,Sweet Greens and Lemon,15.2,20,4,,168074,3
9/8/14,2,Sweet Greens and Lemon,15.2,3,7,,168074,3
9/8/14,2,Coconut Water Greens,15.2,23,4,,168129,3
9/8/14,2,Coconut Water Greens,15.2,38,7,,168129,3
9/8/14,2,Apple Berry,15.2,18,7,,168158,3
9/8/14,2,Apple Berry,15.2,10,4,,168158,3
9/8/14,2,Reg Orange,128,15,5,,168189,3
9/8/14,2,Reg Orange,128,18,8,,168189,3
9/8/14,3,Reg Orange,64,4,7,,168066,3
9/8/14,3,Org Orange,15.2,2,2,,168315,3
9/8/14,3,Org Orange,15.2,1,7,,168315,3
9/8/14,3,Org Orange,128,3,7,,168318,3
9/8/14,3,Reg Orange,64,4,2,,168188,3
9/8/14,3,Reg Orange,64,3,7,,168188,3
9/8/14,4,Sweet Greens and Lemon,15.2,7,2,,168074,3
9/8/14,4,Apple Berry,15.2,2,7,,168158,3
9/8/14,4,Sweet Greens and Lemon,15.2,6,7,,168074,3
9/8/14,4,Sweet Greens and Lemon,15.2,10,2,,168074,3
9/8/14,4,Apple Berry,15.2,4,2,,168158,3
9/8/14,4,Sweet Greens and Lemon,15.2,16,7,,168074,3
9/9/14,1,Reg Orange,128,2,2,,168189,1
9/9/14,1,Reg Orange,64,5,1,,168339,1
9/9/14,1,Strawberry Smoothie,64,9,5,,168145,1
9/9/14,1,Essential Greens,15.2,35,1,,168139,1
9/9/14,2,Essential Greens,15.2,19,7,,168139,1
9/9/14,2,Essential Greens,15.2,1,8,,168139,1
9/9/14,2,Coconut Water Greens,15.2,10,7,,168129,1
9/9/14,2,Apple Berry,15.2,7,7,,168158,1
9/8/14,2,Reg Orange,15.2,1,3,19,168064,2
9/8/14,2,Reg Orange,15.2,1,3,22,168064,2
9/8/14,2,Reg Orange,15.2,1,3,19,168064,2
9/8/14,2,Reg Orange,15.2,1,3,24,168064,2
9/8/14,2,OOJ,15.2,1,3,28,167831,2
9/9/14,2,Apple Berry,15.2,1,3,27,168158,1
9/9/14,2,Org Grapefruit,15.2,2,7,,168112,1
9/9/14,2,Sweet Greens and Lemon,15.2,1,7,,168074,1
9/9/14,2,Super Green,15.2,2,7,,168057,1
9/9/14,2,Org Apple,32,14,2,,168105,1
9/9/14,2,Essential Greens,15.2,6,7,,168139,1
9/9/14,2,Sweet Greens and Lemon,15.2,6,2,,168074,1
9/9/14,2,Apple Berry,15.2,1,3,20,168158,
9/9/14,2,Apple Berry,15.2,1,3,17,168158,
9/9/14,2,Apple Berry,15.2,1,3,27,168158,
9/9/14,2,Apple Berry,15.2,1,3,26,168158,
9/9/14,2,Sweet Greens and Lemon,15.2,1,3,25,168074,1
9/9/14,2,Sweet Greens and Lemon,15.2,1,3,,168074,1
9/9/14,2,Sweet Greens and Lemon,15.2,1,3,,168074,1
9/9/14,2,Sweet Greens and Lemon,15.2,1,3,,168074,1
9/9/14,2,Sweet Greens and Lemon,15.2,1,3,,168074,1
9/9/14,2,Sweet Greens and Lemon,15.2,1,3,,168074,1
9/9/14,2,Sweet Greens and Lemon,15.2,1,3,,168074,1
9/9/14,2,Sweet Greens and Lemon,15.2,1,3,,168074,1
9/9/14,2,Org Grapefruit,15.2,13,7,,168112,1
9/9/14,2,Coconut Water Greens,15.2,10,2,,168129,1
9/9/14,2,Coconut Water Greens,15.2,2,7,,168129,1
9/9/14,2,Reg Orange,128,1,2,,168189,1
9/9/14,2,Reg Orange,128,1,7,,168189,1
9/9/14,3,Org Apple,32,5,6,,168105,1
9/9/14,3,Org Apple,64,3,2,,168106,1
9/9/14,3,Reg Orange,32,2,4,,168065,1
9/9/14,4,Apple Berry,15.2,8,2,,168158,1
9/9/14,4,Org Grapefruit,15.2,4,6,,168112,1
9/9/14,4,Essential Greens,15.2,4,2,,168139,1
9/9/14,4,Sweet Greens and Lemon,15.2,1,2,,168074,1
9/9/14,4,Coconut Water Greens,15.2,4,2,,168129,1
9/9/14,1,Essential Greens,15.2,4,7,,168139,2
9/9/14,1,Essential Greens,15.2,1,2,,168139,2
9/9/14,2,Essential Greens,15.2,109,7,,168139,2
9/9/14,2,Essential Greens,15.2,2,2,,168139,2
9/9/14,2,Essential Greens,15.2,1,3,,168139,2
9/9/14,2,Essential Greens,15.2,1,3,,168139,2
9/9/14,2,Essential Greens,15.2,1,3,,168139,2
9/9/14,2,Essential Greens,15.2,1,3,,168139,2
9/9/14,2,Essential Greens,15.2,1,3,,168139,2
9/9/14,2,Reg Orange,15.2,20,7,,168348,2
9/9/14,2,Essential Greens,15.2,45,7,,168139,2
9/9/14,2,Essential Greens,15.2,6,2,,168139,2
9/9/14,2,Essential Greens,15.2,9,1,,168139,2
9/9/14,2,Grapefurit,32,9,7,,168123,2
9/9/14,2,Grapefurit,32,1,2,,168123,2
9/9/14,2,Grapefurit,59,1,7,,168124,2
9/9/14,2,Reg Orange,128,2,7,,163189,2
9/9/14,2,Org Grapefruit,64,6,1,,168106,2
9/9/14,2,Org Apple,64,7,7,,168106,2
9/9/14,2,Reg Orange,15.2,34,7,,168348,2
9/9/14,2,Reg Orange,15.2,3,2,,168348,2
9/9/14,2,Reg Orange,15.2,3,1,,168348,2
9/9/14,3,Org Apple,64,5,2,,168106,2
9/9/14,3,Org Grapefruit,32,1,2,,168113,2
9/9/14,3,Org Apple,64,5,7,,168106,2
9/9/14,3,Org Apple,32,4,6,,168105,2
9/9/14,3,Org Apple,32,1,2,,168105,2
9/9/14,3,Reg Orange,32,1,2,,168065,2
9/9/14,3,Reg Orange,32,2,7,,168065,2
9/9/14,3,Reg Orange,32,2,6,,168065,2
9/9/14,3,Reg Orange,128,1,7,,168189,2
9/9/14,3,Org Apple,64,5,2,,168106,2
9/9/14,4,Essential Greens,15.2,36,1,,168139,2
9/9/14,4,Essential Greens,15.2,3,2,,168139,2
9/9/14,4,Essential Greens,15.2,13,7,,168139,2
9/9/14,4,Essential Greens,15.2,3,8,,168139,2
9/9/14,4,Reg Orange,15.2,6,1,,168348,2
9/9/14,4,Reg Orange,15.2,1,7,,168348,2
9/9/14,4,Grapefurit,128,11,7,,168126,2
9/9/14,4,Grapefurit,128,12,1,,168126,2
9/9/14,4,Grapefurit,59,8,2,,168124,2
9/9/14,4,Grapefurit,64,7,2,,168325,2
9/9/14,4,Grapefurit,32,2,2,,168123,2
9/9/14,4,Essential Greens,64,2,2,,168141,2
9/9/14,4,Essential Greens,15.2,6,2,,168139,2
9/9/14,4,Essential Greens,32,5,1,,168140,2
9/9/14,4,Reg Orange,15.2,30,2,,168348,2
9/9/14,4,Essential Greens,15.2,60,7,,168139,2
9/9/14,2,Sweet Greens and Lemon,15.2,1,3,26,168074,
9/9/14,2,Apple Berry,15.2,1,3,20,,
9/9/14,2,Apple Berry,15.2,1,3,27,,
9/9/14,2,Apple Berry,15.2,1,3,17,,
9/9/14,2,Coconut Water Pineapple,15.2,1,3,18,168152,
9/9/14,2,Coconut Water Pineapple,15.2,1,3,18,168152,
9/9/14,2,Coconut Water Pineapple,15.2,1,3,28,168152,
9/9/14,2,Coconut Water Pineapple,15.2,1,3,17,168152,
9/10/14,1,Coconut Water Pineapple,15.2,18,7,,168152,1
9/10/14,1,Apple Berry,15.2,10,1,,168158,1
9/10/14,1,Orange Carrot Mango,15.2,1,1,,168202,1
9/10/14,1,Reg Orange,15.2,2,2,,168348,1
9/10/14,1,Essential Greens,32,3,1,,168140,1
9/10/14,2,Apple Berry,15.2,92,7,,168158,1
9/10/14,2,Apple Berry,15.2,1,3,,168158,1
9/10/14,2,Apple Berry,15.2,1,3,,168158,1
9/10/14,2,Apple Berry,15.2,1,3,,168158,1
9/10/14,2,Apple Berry,15.2,1,3,,168158,1
9/10/14,2,Essential Greens,15.2,5,6,,168140,1
9/10/14,2,Essential Greens,15.2,1,6,,168141,1
